index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
0,1,Guayule MAC F100 2018,2018-04-20 00:00:00,44,a,2
1,1,Guayule MAC F100 2018,2018-04-21 00:00:00,42,a,2
2,1,Guayule MAC F100 2018,2018-04-22 00:00:00,21,a,2
3,1,Guayule MAC F100 2018,2018-04-23 00:00:00,20,a,2
4,1,Guayule MAC F100 2018,2018-04-24 00:00:00,12,a,2
5,1,Guayule MAC F100 2018,2018-04-25 00:00:00,15,a,2
6,1,Guayule MAC F100 2018,2018-04-26 00:00:00,39,a,2
7,1,Guayule MAC F100 2018,2018-04-27 00:00:00,60,a,2
8,1,Guayule MAC F100 2018,2018-04-28 00:00:00,11,a,2
9,1,Guayule MAC F100 2018,2018-04-29 00:00:00,6,a,2
10,1,Guayule MAC F100 2018,2018-04-30 00:00:00,6,a,2
11,1,Guayule MAC F100 2018,2018-05-01 00:00:00,8,a,2
12,1,Guayule MAC F100 2018,2018-05-03 00:00:00,12.2,a,2
13,1,Guayule MAC F100 2018,2018-05-05 00:00:00,14.8,a,2
14,1,Guayule MAC F100 2018,2018-05-07 00:00:00,14.8,a,2
15,1,Guayule MAC F100 2018,2018-05-09 00:00:00,14.8,a,2
16,1,Guayule MAC F100 2018,2018-05-11 00:00:00,14.8,a,2
17,1,Guayule MAC F100 2018,2018-05-13 00:00:00,14.8,a,2
18,1,Guayule MAC F100 2018,2018-05-16 00:00:00,11.9,a,2
19,1,Guayule MAC F100 2018,2018-05-17 00:00:00,14.8,a,2
20,1,Guayule MAC F100 2018,2018-05-19 00:00:00,14.8,a,2
21,1,Guayule MAC F100 2018,2018-05-21 00:00:00,15,a,2
22,1,Guayule MAC F100 2018,2018-05-22 00:00:00,17,a,2
23,1,Guayule MAC F100 2018,2018-05-26 00:00:00,15,a,2
24,1,Guayule MAC F100 2018,2018-05-28 00:00:00,15,a,2
25,1,Guayule MAC F100 2018,2018-05-29 00:00:00,10,a,2
26,1,Guayule MAC F100 2018,2018-05-30 00:00:00,10,a,2
27,1,Guayule MAC F100 2018,2018-05-31 00:00:00,99.7,a,2
28,1,Guayule MAC F100 2018,2018-06-08 00:00:00,61.5,a,2
29,1,Guayule MAC F100 2018,2018-06-15 00:00:00,41,a,2
30,1,Guayule MAC F100 2018,2018-06-22 00:00:00,30,a,2
